ID,code_du_bureau_de_vote,adresse_orig,nb_inscrits,logements_total,etages_moy,X,Y
112,26,45 RUE ALBERT THOMAS,2,1.0,1.0,-1.4599140000000002,43.496673000000015
113,26,47 RUE ALBERT THOMAS,1,1.0,2.0,-1.459889999999999,43.496742
114,26,47BIS RUE ALBERT THOMAS,3,1.0,1.0,-1.4596500000000003,43.49668699999999
115,26,49 RUE ALBERT THOMAS,2,1.0,1.0,-1.4598709999999995,43.496823000000006
116,26,53 RUE ALBERT THOMAS,1,1.0,1.0,-1.459846,43.497063
117,26,55 RUE ALBERT THOMAS,3,1.0,2.0,-1.4599059999999986,43.497169
118,26,57 RUE ALBERT THOMAS,4,1.0,2.0,-1.4599749999999987,43.49731899999999
119,6,9 PLACE JEANNE D'ALBRET,26,,,-1.4659899999999988,43.494231000000006
120,20,1 RUE ALFRED BOULANT,1,1.0,2.0,-1.4878820000000001,43.49507500000001
121,20,3 RUE ALFRED BOULANT,2,1.0,2.0,-1.4879789999999997,43.494877
122,20,4 RUE ALFRED BOULANT,2,0.0,,-1.4887029999999999,43.49443900000002
123,20,6 RUE ALFRED BOULANT,2,1.0,2.0,-1.4884369999999993,43.494273
124,20,7 RUE ALFRED BOULANT,1,1.0,2.0,-1.4881520000000006,43.49455200000001
125,20,8 RUE ALFRED BOULANT,6,1.0,2.0,-1.488490999999999,43.49415899999999
126,20,10 RUE ALFRED BOULANT,4,1.0,3.0,-1.4885769999999994,43.493990000000004
127,20,11 RUE ALFRED BOULANT,2,1.0,2.0,-1.4883220000000001,43.494233
128,20,13 RUE ALFRED BOULANT,3,1.0,2.0,-1.4883760000000006,43.494119999999995
129,20,15 RUE ALFRED BOULANT,5,3.0,3.0,-1.488436,43.493992999999996
130,20,17 RUE ALFRED BOULANT,8,3.0,3.0,-1.4885089999999992,43.49386099999999
131,18,13BIS ALLÉES MARINES,1,,,-1.4854619999999985,43.49765599999999
132,18,1 ALLÉES MARINES,30,61.0,9.0,-1.4789519999999992,43.495239000000005
133,29,2 ALLÉE DES MARAÎCHÈRES,5,0.0,9.0,-1.4790270000000005,43.495501
134,18,3 ALLÉES MARINES,34,61.0,9.0,-1.4793410000000002,43.495368000000006
135,18,5 ALLÉES MARINES,35,266.0,9.0,-1.4796599999999995,43.49548
136,18,7 ALLÉES MARINES,22,205.0,9.0,-1.4807250000000003,43.495830000000005
137,18,11 ALLÉES MARINES,21,205.0,9.0,-1.480937999999998,43.495898
138,18,13 ALLÉES MARINES,26,205.0,9.0,-1.4812430000000003,43.49601400000001
139,18,19 ALLÉES MARINES,9,0.0,1.0,-1.4822689999999994,43.49634200000001
140,18,25 ALLÉES MARINES,95,0.0,0.0,-1.4841909999999998,43.49705
141,18,33 ALLÉES MARINES,3,7.0,3.0,-1.4855010000000002,43.497508999999994
142,18,34 ALLÉES MARINES,2,0.0,0,-1.4856309999999988,43.497555999999975
143,17,45 ALLÉES MARINES,3,4.0,3.0,-1.4879790000000004,43.49854099999999
144,17,47 ALLÉES MARINES,17,0.0,,-1.4883429999999997,43.49872299999999
145,17,48 ALLÉES MARINES,4,0.0,1.0,-1.4884769999999992,43.49879200000001
146,17,50 ALLÉES MARINES,1,0.0,1.0,-1.4886939999999984,43.49888100000001
147,17,53 ALLÉES MARINES,2,3.0,3.0,-1.4891029999999998,43.49910599999999
148,17,54 ALLÉES MARINES,2,4.0,3.0,-1.489220999999999,43.49916199999999
149,20,60 ALLÉES MARINES,5,2.0,2.0,-1.4900099999999994,43.499565000000004
150,6,18TER BOULEVARD ALSACE LORRAINE,2,,,-1.4663779999999997,43.493230000000004
151,5,2 BOULEVARD ALSACE LORRAINE,5,8.0,5.0,-1.4696729999999991,43.49504799999999
152,5,4 BOULEVARD ALSACE LORRAINE,7,12.0,4.0,-1.4693960000000004,43.49491900000001
153,5,4 BIS BOULEVARD ALSACE LORRAINE,1,12.0,4.0,-1.4691650000000007,43.49481800000001
154,5,5 BOULEVARD ALSACE LORRAINE,7,8.0,5.0,-1.4693150000000006,43.49511400000001
155,5,6 BOULEVARD ALSACE LORRAINE,9,14.0,4.0,-1.468901,43.49471000000001
156,5,7 BOULEVARD ALSACE LORRAINE,1,7.0,4.0,-1.4692089999999998,43.49505599999999
157,5,9 BOULEVARD ALSACE LORRAINE,5,4.0,5.0,-1.4691079999999994,43.49501399999999
158,5,11 BOULEVARD ALSACE LORRAINE,1,4.0,4.0,-1.4690040000000002,43.494969000000005
159,5,13 BOULEVARD ALSACE LORRAINE,5,7.0,5.0,-1.4688500000000002,43.494911
160,5,14 BOULEVARD ALSACE LORRAINE,10,8.0,5.0,-1.4683549999999999,43.494471999999995
161,5,14BIS BOULEVARD ALSACE LORRAINE,5,0.0,,-1.4681859999999989,43.494387999999994
162,5,17 BOULEVARD ALSACE LORRAINE,8,9.0,6.0,-1.4684739999999996,43.49475300000002
163,6,21 BOULEVARD ALSACE LORRAINE,3,0.0,2.0,-1.4674970000000003,43.49426400000001
164,6,24 BOULEVARD ALSACE LORRAINE,22,0.0,1.0,-1.467328999999999,43.49385800000001
165,6,25 BOULEVARD ALSACE LORRAINE,5,5.0,5.0,-1.466588,43.493612000000006
166,6,26 BOULEVARD ALSACE LORRAINE,29,86.0,9.0,-1.467148,43.493743
167,6,27 BOULEVARD ALSACE LORRAINE,12,9.0,5.0,-1.466480000000001,43.49353399999998
168,6,29 BOULEVARD ALSACE LORRAINE,3,2.0,2.0,-1.466337,43.493436999999986
169,6,30 BOULEVARD ALSACE LORRAINE,6,6.0,4.0,-1.466688000000001,43.493410999999995
170,6,31 BOULEVARD ALSACE LORRAINE,1,1.0,2.0,-1.466273999999999,43.49339199999999
171,6,33 BOULEVARD ALSACE LORRAINE,7,6.0,3.0,-1.466191999999999,43.49334500000001
172,6,36 BOULEVARD ALSACE LORRAINE,2,0.0,,-1.4663860000000004,43.493188
173,6,37 BOULEVARD ALSACE LORRAINE,2,0.0,,-1.4661109999999993,43.49327300000001
174,6,39 BOULEVARD ALSACE LORRAINE,1,0.0,4.0,-1.4660269999999995,43.493217
175,6,40 BOULEVARD ALSACE LORRAINE,14,0.0,,-1.466176000000001,43.493050000000004
176,6,41 BOULEVARD ALSACE LORRAINE,4,6.0,3.0,-1.4659480000000005,43.493160000000024
177,6,42 BOULEVARD ALSACE LORRAINE,1,0.0,1.0,-1.4660990000000012,43.492988
178,6,45 BOULEVARD ALSACE LORRAINE,8,0.0,,-1.4655450000000003,43.492871000000015
179,6,47 BOULEVARD ALSACE LORRAINE,5,7.0,3.0,-1.4654589999999998,43.492812
180,6,49 BOULEVARD ALSACE LORRAINE,3,4.0,2.0,-1.465356999999999,43.492738
181,6,54 BOULEVARD ALSACE LORRAINE,5,5.0,4.0,-1.465366000000001,43.492463999999984
182,6,55 BOULEVARD ALSACE LORRAINE,20,20.0,4.0,-1.4652059999999998,43.49263499999999
183,6,56 BOULEVARD ALSACE LORRAINE,5,8.0,4.0,-1.4652860000000012,43.49241300000001
184,6,58 BOULEVARD ALSACE LORRAINE,3,6.0,2.0,-1.4652140000000013,43.49236599999999
185,7,59 BOULEVARD ALSACE LORRAINE,1,4.0,3.0,-1.4648590000000001,43.492377
186,6,60 BOULEVARD ALSACE LORRAINE,21,12.0,6.0,-1.4649690000000002,43.492182000000014
